p	40x30
0.000000	0.000000	1
0.025000	0.025000	1
0.050000	0.050000	1
0.075000	0.026220	41
0.100000	0.030435	23
0.125000	0.039796	49
0.150000	0.042373	59
0.175000	0.050424	59
0.200000	0.057727	55
0.225000	0.061667	60
0.250000	0.088542	48
0.275000	0.098188	69
0.300000	0.110849	106
0.325000	0.138667	75
0.350000	0.146168	137
0.375000	0.181753	174
0.400000	0.213136	236
0.425000	0.246926	244
0.450000	0.294025	159
0.475000	0.388889	234
0.500000	0.486671	362
0.525000	0.658843	523
0.550000	0.865762	525
0.575000	1.130532	479
0.600000	1.349075	514
0.625000	1.447314	391
0.650000	1.407675	329
0.675000	1.351814	248
0.700000	1.256444	194
0.725000	1.161410	195
0.750000	1.111739	115
0.775000	1.064045	89
0.800000	1.030859	64
0.825000	1.023148	54
0.850000	1.007547	53
0.875000	1.002273	44
0.900000	1.001923	39
0.925000	1.003750	20
0.950000	0.998913	23
0.975000	1.000000	12
1.000000	1.000000	12
