p	40x30
0.000000	0.000000	1
0.025000	0.000000	1
0.050000	0.022222	27
0.075000	0.025000	1
0.100000	0.025000	1
0.125000	0.039362	47
0.150000	0.040678	59
0.175000	0.055072	69
0.200000	0.057143	56
0.225000	0.079231	65
0.250000	0.085714	49
0.275000	0.101563	112
0.300000	0.109091	88
0.325000	0.130482	114
0.350000	0.147167	150
0.375000	0.173698	96
0.400000	0.203892	167
0.425000	0.258298	235
0.450000	0.308004	253
0.475000	0.395711	204
0.500000	0.495630	349
0.525000	0.679887	445
0.550000	0.889505	524
0.575000	1.125688	654
0.600000	1.291428	522
0.625000	1.456766	388
0.650000	1.420435	356
0.675000	1.327125	247
0.700000	1.248357	213
0.725000	1.172351	151
0.750000	1.125250	100
0.775000	1.081638	113
0.800000	1.040178	84
0.825000	1.018453	84
0.850000	1.007222	45
0.875000	1.000000	12
0.900000	1.000962	26
0.925000	0.998936	47
0.950000	1.000000	12
0.975000	1.001087	23
1.000000	1.000000	12
