t	x	y	r	vx	vy	v
0.00	0.00	6779000.00	6779000.00	7909.68	0.00	7909.68
0.25	1977.42	6778999.50	6778999.79	7909.68	-2.17	7909.68
0.50	3954.84	6778998.50	6778999.65	7909.68	-4.34	7909.68
0.75	5932.26	6778997.00	6778999.60	7909.67	-6.51	7909.68
1.00	7909.67	6778995.00	6778999.61	7909.67	-8.67	7909.68
1.25	9887.09	6778992.50	6778999.71	7909.67	-10.84	7909.68
1.50	11864.51	6778989.00	6778999.38	7909.67	-13.01	7909.68
1.75	13841.92	6778985.00	6778999.13	7909.66	-15.18	7909.68
2.00	15819.34	6778980.50	6778998.96	7909.66	-17.35	7909.68
2.25	17796.75	6778975.50	6778998.86	7909.65	-19.52	7909.68
2.50	19774.17	6778970.00	6778998.84	7909.65	-21.68	7909.68
2.75	21751.58	6778964.00	6778998.90	7909.64	-23.85	7909.68
3.00	23728.98	6778957.50	6778999.03	7909.63	-26.02	7909.68
3.25	25706.39	6778950.50	6778999.24	7909.63	-28.19	7909.68
3.50	27683.79	6778943.00	6778999.53	7909.62	-30.36	7909.68
3.75	29661.20	6778935.00	6778999.89	7909.61	-32.53	7909.68
4.00	31638.60	6778926.50	6779000.33	7909.60	-34.69	7909.68
4.25	33616.00	6778917.50	6779000.85	7909.59	-36.86	7909.68
4.50	35593.39	6778907.50	6779000.94	7909.58	-39.03	7909.68
4.75	37570.78	6778897.00	6779001.11	7909.57	-41.20	7909.68
5.00	39548.17	6778886.00	6779001.36	7909.56	-43.37	7909.68
5.25	41525.56	6778874.50	6779001.69	7909.54	-45.54	7909.67
5.50	43502.94	6778862.50	6779002.09	7909.53	-47.70	7909.67
5.75	45480.32	6778850.00	6779002.57	7909.52	-49.87	7909.67
6.00	47457.70	6778837.00	6779003.12	7909.50	-52.04	7909.67
6.25	49435.07	6778823.50	6779003.75	7909.49	-54.21	7909.67
6.50	51412.43	6778809.50	6779004.46	7909.47	-56.38	7909.67
6.75	53389.80	6778795.00	6779005.25	7909.45	-58.55	7909.67
7.00	55367.16	6778780.00	6779006.11	7909.44	-60.71	7909.67
7.25	57344.51	6778764.50	6779007.05	7909.42	-62.88	7909.67
7.50	59321.86	6778748.00	6779007.56	7909.40	-65.05	7909.67
7.75	61299.21	6778731.00	6779008.15	7909.38	-67.22	7909.67
8.00	63276.55	6778713.50	6779008.82	7909.36	-69.39	7909.67
8.25	65253.88	6778695.50	6779009.57	7909.34	-71.56	7909.67
8.50	67231.21	6778677.00	6779010.39	7909.32	-73.72	7909.67
8.75	69208.54	6778658.00	6779011.29	7909.30	-75.89	7909.66
9.00	71185.86	6778638.50	6779012.27	7909.28	-78.06	7909.66
9.25	73163.17	6778618.50	6779013.32	7909.26	-80.23	7909.66
9.50	75140.48	6778598.00	6779014.45	7909.23	-82.40	7909.66
9.75	77117.78	6778577.00	6779015.66	7909.21	-84.56	7909.66
10.00	79095.08	6778555.50	6779016.94	7909.18	-86.73	7909.66
10.25	81072.37	6778533.50	6779018.30	7909.16	-88.90	7909.66
10.50	83049.65	6778510.50	6779019.24	7909.13	-91.07	7909.66
10.75	85026.92	6778487.00	6779020.25	7909.11	-93.24	7909.66
11.00	87004.19	6778463.00	6779021.34	7909.08	-95.41	7909.65
11.25	88981.45	6778438.50	6779022.51	7909.05	-97.57	7909.65
11.50	90958.71	6778413.50	6779023.75	7909.02	-99.74	7909.65
11.75	92935.96	6778388.00	6779025.08	7908.99	-101.91	7909.65
12.00	94913.20	6778362.00	6779026.47	7908.96	-104.08	7909.65
12.25	96890.44	6778335.50	6779027.95	7908.93	-106.25	7909.65
12.50	98867.66	6778308.50	6779029.50	7908.90	-108.41	7909.64
12.75	100844.88	6778281.00	6779031.13	7908.87	-110.58	7909.64
13.00	102822.09	6778253.00	6779032.83	7908.84	-112.75	7909.64
13.25	104799.30	6778224.50	6779034.61	7908.81	-114.92	7909.64
13.50	106776.49	6778195.00	6779035.97	7908.77	-117.09	7909.64
13.75	108753.68	6778165.00	6779037.40	7908.74	-119.26	7909.64
14.00	110730.85	6778134.50	6779038.92	7908.70	-121.42	7909.63
14.25	112708.02	6778103.50	6779040.50	7908.67	-123.59	7909.63
14.50	114685.17	6778072.00	6779042.17	7908.63	-125.76	7909.63
14.75	116662.32	6778040.00	6779043.91	7908.59	-127.93	7909.63
15.00	118639.46	6778007.50	6779045.73	7908.56	-130.10	7909.63
15.25	120616.59	6777974.50	6779047.62	7908.52	-132.26	7909.62
15.50	122593.71	6777941.00	6779049.60	7908.48	-134.43	7909.62
15.75	124570.82	6777907.00	6779051.64	7908.44	-136.60	7909.62
16.00	126547.92	6777872.50	6779053.77	7908.40	-138.77	7909.62
16.25	128525.02	6777837.50	6779055.97	7908.36	-140.94	7909.62
16.50	130502.09	6777801.50	6779057.75	7908.32	-143.10	7909.61
16.75	132479.16	6777765.00	6779059.60	7908.28	-145.27	7909.61
17.00	134456.22	6777728.00	6779061.54	7908.24	-147.44	7909.61
17.25	136433.27	6777690.50	6779063.55	7908.19	-149.61	7909.61
17.50	138410.30	6777652.50	6779065.63	7908.15	-151.77	7909.61
17.75	140387.33	6777614.00	6779067.79	7908.10	-153.94	7909.60
18.00	142364.34	6777575.00	6779070.03	7908.06	-156.11	7909.60
18.25	144341.34	6777535.50	6779072.35	7908.01	-158.28	7909.60
18.50	146318.33	6777495.50	6779074.74	7907.97	-160.45	7909.60
18.75	148295.31	6777455.00	6779077.21	7907.92	-162.61	7909.59
19.00	150272.28	6777414.00	6779079.75	7907.87	-164.78	7909.59
19.25	152249.23	6777372.50	6779082.37	7907.83	-166.95	7909.59
19.50	154226.17	6777330.00	6779084.57	7907.78	-169.12	7909.59
19.75	156203.11	6777287.00	6779086.85	7907.73	-171.29	7909.58
20.00	158180.03	6777243.50	6779089.20	7907.68	-173.45	7909.58
20.25	160156.94	6777199.50	6779091.63	7907.63	-175.62	7909.58
20.50	162133.83	6777155.00	6779094.13	7907.58	-177.79	7909.57
20.75	164110.70	6777110.00	6779096.72	7907.52	-179.96	7909.57
21.00	166087.58	6777064.50	6779099.37	7907.47	-182.12	7909.57
21.25	168064.44	6777018.50	6779102.11	7907.42	-184.29	7909.57
21.50	170041.28	6776972.00	6779104.92	7907.36	-186.46	7909.56
21.75	172018.11	6776925.00	6779107.81	7907.31	-188.63	7909.56
22.00	173994.92	6776877.50	6779110.77	7907.26	-190.79	7909.56
22.25	175971.72	6776829.50	6779113.82	7907.20	-192.96	7909.55
22.50	177948.50	6776780.50	6779116.43	7907.14	-195.13	7909.55
22.75	179925.27	6776731.00	6779119.13	7907.09	-197.30	7909.55
23.00	181902.02	6776681.00	6779121.90	7907.03	-199.46	7909.54
23.25	183878.77	6776630.50	6779124.75	7906.97	-201.63	7909.54
23.50	185855.50	6776579.50	6779127.67	7906.91	-203.80	7909.54
23.75	187832.22	6776528.00	6779130.67	7906.85	-205.97	7909.53
24.00	189808.92	6776476.00	6779133.75	7906.79	-208.13	7909.53
24.25	191785.61	6776423.50	6779136.90	7906.73	-210.30	7909.53
24.50	193762.28	6776370.50	6779140.14	7906.67	-212.47	7909.52
24.75	195738.94	6776317.00	6779143.44	7906.61	-214.64	7909.52
25.00	197715.58	6776263.00	6779146.83	7906.55	-216.80	7909.52
25.25	199692.20	6776208.50	6779150.29	7906.48	-218.97	7909.51
25.50	201668.81	6776153.00	6779153.32	7906.42	-221.14	7909.51
25.75	203645.41	6776097.00	6779156.44	7906.35	-223.31	7909.51
26.00	205621.98	6776040.50	6779159.63	7906.29	-225.47	7909.50
26.25	207598.55	6775983.50	6779162.89	7906.22	-227.64	7909.50
26.50	209575.09	6775926.00	6779166.24	7906.16	-229.81	7909.50
26.75	211551.61	6775868.00	6779169.66	7906.09	-231.98	7909.49
27.00	213528.11	6775809.50	6779173.15	7906.02	-234.14	7909.49
27.25	215504.59	6775750.50	6779176.72	7905.95	-236.31	7909.48
27.50	217481.06	6775691.00	6779180.37	7905.88	-238.48	7909.48
27.75	219457.52	6775631.00	6779184.10	7905.82	-240.64	7909.48
28.00	221433.95	6775570.50	6779187.90	7905.75	-242.81	7909.47
28.25	223410.38	6775509.50	6779191.78	7905.67	-244.98	7909.47
28.50	225386.78	6775447.50	6779195.23	7905.60	-247.15	7909.47
28.75	227363.16	6775385.00	6779198.77	7905.53	-249.31	7909.46
29.00	229339.52	6775322.00	6779202.37	7905.46	-251.48	7909.46
29.25	231315.86	6775258.50	6779206.06	7905.38	-253.65	7909.45
29.50	233292.19	6775194.50	6779209.82	7905.31	-255.81	7909.45
29.75	235268.50	6775130.00	6779213.66	7905.24	-257.98	7909.44
30.00	237244.80	6775065.00	6779217.57	7905.16	-260.15	7909.44
30.25	239221.06	6774999.50	6779221.56	7905.08	-262.31	7909.44
30.50	241197.31	6774933.50	6779225.62	7905.01	-264.48	7909.43
30.75	243173.55	6774867.00	6779229.77	7904.93	-266.65	7909.43
31.00	245149.77	6774800.00	6779233.99	7904.85	-268.81	7909.42
31.25	247125.95	6774732.50	6779238.28	7904.77	-270.98	7909.42
31.50	249102.12	6774664.00	6779242.15	7904.70	-273.15	7909.41
31.75	251078.28	6774595.00	6779246.10	7904.62	-275.31	7909.41
32.00	253054.42	6774525.50	6779250.13	7904.54	-277.48	7909.41
32.25	255030.53	6774455.50	6779254.23	7904.46	-279.65	7909.40
32.50	257006.62	6774385.00	6779258.41	7904.37	-281.81	7909.40
32.75	258982.70	6774314.00	6779262.66	7904.29	-283.98	7909.39
33.00	260958.75	6774242.50	6779266.99	7904.21	-286.15	7909.39
33.25	262934.78	6774170.50	6779271.40	7904.12	-288.31	7909.38
33.50	264910.78	6774098.00	6779275.88	7904.04	-290.48	7909.38
33.75	266886.78	6774025.00	6779280.44	7903.96	-292.65	7909.37
34.00	268862.75	6773951.50	6779285.07	7903.87	-294.81	7909.37
34.25	270838.69	6773877.50	6779289.78	7903.78	-296.98	7909.36
34.50	272814.62	6773802.50	6779294.07	7903.70	-299.15	7909.36
34.75	274790.53	6773727.00	6779298.44	7903.61	-301.31	7909.35
35.00	276766.41	6773651.00	6779302.88	7903.52	-303.48	7909.35
35.25	278742.25	6773574.50	6779307.39	7903.43	-305.65	7909.34
35.50	280718.09	6773497.50	6779311.99	7903.35	-307.81	7909.34
35.75	282693.91	6773420.00	6779316.66	7903.26	-309.98	7909.33
36.00	284669.69	6773342.00	6779321.40	7903.17	-312.15	7909.33
36.25	286645.47	6773263.50	6779326.23	7903.07	-314.31	7909.32
36.50	288621.22	6773184.50	6779331.12	7902.98	-316.48	7909.32
36.75	290596.94	6773105.00	6779336.10	7902.89	-318.64	7909.31
37.00	292572.62	6773025.00	6779341.15	7902.80	-320.81	7909.31
37.25	294548.31	6772944.50	6779346.27	7902.70	-322.98	7909.30
37.50	296523.97	6772863.00	6779350.98	7902.61	-325.14	7909.30
37.75	298499.59	6772781.00	6779355.76	7902.51	-327.31	7909.29
38.00	300475.19	6772698.50	6779360.61	7902.42	-329.47	7909.28
38.25	302450.78	6772615.50	6779365.54	7902.32	-331.64	7909.28
38.50	304426.34	6772532.00	6779370.55	7902.23	-333.81	7909.27
38.75	306401.88	6772448.00	6779375.64	7902.13	-335.97	7909.27
39.00	308377.38	6772363.50	6779380.80	7902.03	-338.14	7909.26
39.25	310352.84	6772278.50	6779386.03	7901.93	-340.30	7909.26
39.50	312328.31	6772193.00	6779391.34	7901.83	-342.47	7909.25
39.75	314303.75	6772107.00	6779396.73	7901.73	-344.64	7909.25
40.00	316279.16	6772020.50	6779402.20	7901.63	-346.80	7909.24
40.25	318254.53	6771933.50	6779407.74	7901.53	-348.97	7909.23
40.50	320229.88	6771845.50	6779412.85	7901.43	-351.13	7909.23
40.75	322205.22	6771757.00	6779418.05	7901.33	-353.30	7909.22
41.00	324180.53	6771668.00	6779423.32	7901.22	-355.46	7909.22
41.25	326155.81	6771578.50	6779428.66	7901.12	-357.63	7909.21
41.50	328131.06	6771488.50	6779434.08	7901.02	-359.80	7909.20
41.75	330106.28	6771398.00	6779439.58	7900.91	-361.96	7909.20
42.00	332081.47	6771307.00	6779445.15	7900.81	-364.13	7909.19
42.25	334056.66	6771215.50	6779450.80	7900.70	-366.29	7909.19
42.50	336031.81	6771123.50	6779456.53	7900.59	-368.46	7909.18
42.75	338006.94	6771031.00	6779462.33	7900.49	-370.62	7909.17
43.00	339982.03	6770938.00	6779468.21	7900.38	-372.79	7909.17
43.25	341957.09	6770844.50	6779474.16	7900.27	-374.95	7909.16
43.50	343932.12	6770750.00	6779479.69	7900.16	-377.12	7909.16
43.75	345907.12	6770655.00	6779485.30	7900.05	-379.28	7909.15
44.00	347882.12	6770559.50	6779490.98	7899.94	-381.45	7909.14
44.25	349857.09	6770463.50	6779496.74	7899.83	-383.62	7909.14
44.50	351832.03	6770367.00	6779502.57	7899.72	-385.78	7909.13
44.75	353806.94	6770270.00	6779508.48	7899.60	-387.95	7909.12
45.00	355781.81	6770172.50	6779514.46	7899.49	-390.11	7909.12
45.25	357756.66	6770074.50	6779520.53	7899.38	-392.28	7909.11
45.50	359731.47	6769976.00	6779526.66	7899.26	-394.44	7909.10
45.75	361706.25	6769877.00	6779532.88	7899.15	-396.61	7909.10
46.00	363681.00	6769777.50	6779539.16	7899.03	-398.77	7909.09
