t	x	y	r	vx	vy	v
0.00	0.00	6779000.00	6779000.00	12506.30	0.00	12506.30
0.25	3126.57	6778999.50	6779000.22	12506.30	-2.17	12506.30
0.50	6253.15	6778998.50	6779001.38	12506.29	-4.34	12506.30
0.75	9379.72	6778997.00	6779003.49	12506.29	-6.51	12506.29
1.00	12506.29	6778995.00	6779006.54	12506.29	-8.67	12506.29
1.25	15632.86	6778992.50	6779010.53	12506.29	-10.84	12506.29
1.50	18759.43	6778989.00	6779014.96	12506.28	-13.01	12506.29
1.75	21886.00	6778985.00	6779020.33	12506.28	-15.18	12506.28
2.00	25012.57	6778980.50	6779026.64	12506.27	-17.35	12506.28
2.25	28139.13	6778975.50	6779033.90	12506.26	-19.52	12506.28
2.50	31265.70	6778970.00	6779042.10	12506.25	-21.68	12506.27
2.75	34392.26	6778964.00	6779051.24	12506.24	-23.85	12506.26
3.00	37518.82	6778957.50	6779061.33	12506.23	-26.02	12506.26
3.25	40645.37	6778950.50	6779072.35	12506.22	-28.19	12506.25
3.50	43771.92	6778943.00	6779084.32	12506.21	-30.36	12506.24
3.75	46898.47	6778935.00	6779097.23	12506.19	-32.53	12506.24
4.00	50025.01	6778926.50	6779111.08	12506.18	-34.69	12506.23
4.25	53151.55	6778917.50	6779125.87	12506.16	-36.86	12506.22
4.50	56278.09	6778907.50	6779141.10	12506.15	-39.03	12506.21
4.75	59404.62	6778897.00	6779157.28	12506.13	-41.20	12506.20
5.00	62531.14	6778886.00	6779174.40	12506.11	-43.37	12506.19
5.25	65657.66	6778874.50	6779192.46	12506.09	-45.53	12506.17
5.50	68784.18	6778862.50	6779211.46	12506.07	-47.70	12506.16
5.75	71910.69	6778850.00	6779231.41	12506.05	-49.87	12506.15
6.00	75037.20	6778837.00	6779252.29	12506.02	-52.04	12506.13
6.25	78163.70	6778823.50	6779274.12	12506.00	-54.21	12506.12
6.50	81290.19	6778809.50	6779296.89	12505.97	-56.37	12506.10
6.75	84416.67	6778795.00	6779320.60	12505.95	-58.54	12506.08
7.00	87543.15	6778780.00	6779345.26	12505.92	-60.71	12506.07
7.25	90669.62	6778764.50	6779370.85	12505.89	-62.88	12506.05
7.50	93796.09	6778748.00	6779396.89	12505.86	-65.05	12506.03
7.75	96922.55	6778731.00	6779423.87	12505.83	-67.21	12506.01
8.00	100049.01	6778713.50	6779451.79	12505.80	-69.38	12505.99
8.25	103175.45	6778695.50	6779480.65	12505.77	-71.55	12505.97
8.50	106301.89	6778677.00	6779510.45	12505.74	-73.72	12505.95
