t	x	y	r	vx	vy	v
0.00	0.00	390771008.00	390771008.00	7909.68	0.00	7909.68
0.25	1977.42	390771008.00	390771008.01	7909.68	-0.00	7909.68
0.50	3954.84	390771008.00	390771008.02	7909.68	-0.00	7909.68
0.75	5932.26	390771008.00	390771008.05	7909.68	-0.00	7909.68
1.00	7909.68	390771008.00	390771008.08	7909.68	-0.00	7909.68
1.25	9887.10	390771008.00	390771008.13	7909.68	-0.00	7909.68
1.50	11864.51	390771008.00	390771008.18	7909.68	-0.00	7909.68
1.75	13841.93	390771008.00	390771008.25	7909.68	-0.00	7909.68
2.00	15819.35	390771008.00	390771008.32	7909.68	-0.01	7909.68
2.25	17796.77	390771008.00	390771008.41	7909.68	-0.01	7909.68
2.50	19774.19	390771008.00	390771008.50	7909.68	-0.01	7909.68
2.75	21751.61	390771008.00	390771008.61	7909.68	-0.01	7909.68
3.00	23729.03	390771008.00	390771008.72	7909.68	-0.01	7909.68
3.25	25706.45	390771008.00	390771008.85	7909.68	-0.01	7909.68
3.50	27683.87	390771008.00	390771008.98	7909.68	-0.01	7909.68
3.75	29661.29	390771008.00	390771009.13	7909.68	-0.01	7909.68
4.00	31638.71	390771008.00	390771009.28	7909.68	-0.01	7909.68
4.25	33616.13	390771008.00	390771009.45	7909.68	-0.01	7909.68
4.50	35593.55	390771008.00	390771009.62	7909.68	-0.01	7909.68
4.75	37570.96	390771008.00	390771009.81	7909.68	-0.01	7909.68
5.00	39548.38	390771008.00	390771010.00	7909.68	-0.01	7909.68
5.25	41525.80	390771008.00	390771010.21	7909.68	-0.01	7909.68
5.50	43503.22	390771008.00	390771010.42	7909.68	-0.01	7909.68
5.75	45480.64	390771008.00	390771010.65	7909.68	-0.02	7909.68
6.00	47458.05	390771008.00	390771010.88	7909.68	-0.02	7909.68
6.25	49435.47	390771008.00	390771011.13	7909.68	-0.02	7909.68
6.50	51412.89	390771008.00	390771011.38	7909.68	-0.02	7909.68
6.75	53390.31	390771008.00	390771011.65	7909.68	-0.02	7909.68
7.00	55367.73	390771008.00	390771011.92	7909.68	-0.02	7909.68
7.25	57345.14	390771008.00	390771012.21	7909.68	-0.02	7909.68
7.50	59322.56	390771008.00	390771012.50	7909.68	-0.02	7909.68
7.75	61299.98	390771008.00	390771012.81	7909.68	-0.02	7909.68
8.00	63277.40	390771008.00	390771013.12	7909.68	-0.02	7909.68
8.25	65254.82	390771008.00	390771013.45	7909.68	-0.02	7909.68
8.50	67232.23	390771008.00	390771013.78	7909.68	-0.02	7909.68
8.75	69209.66	390771008.00	390771014.13	7909.68	-0.02	7909.68
9.00	71187.08	390771008.00	390771014.48	7909.68	-0.02	7909.68
9.25	73164.50	390771008.00	390771014.85	7909.68	-0.02	7909.68
9.50	75141.92	390771008.00	390771015.22	7909.68	-0.02	7909.68
9.75	77119.34	390771008.00	390771015.61	7909.68	-0.03	7909.68
10.00	79096.77	390771008.00	390771016.01	7909.68	-0.03	7909.68
10.25	81074.19	390771008.00	390771016.41	7909.68	-0.03	7909.68
10.50	83051.61	390771008.00	390771016.83	7909.68	-0.03	7909.68
10.75	85029.03	390771008.00	390771017.25	7909.68	-0.03	7909.68
11.00	87006.45	390771008.00	390771017.69	7909.68	-0.03	7909.68
11.25	88983.88	390771008.00	390771018.13	7909.68	-0.03	7909.68
11.50	90961.30	390771008.00	390771018.59	7909.68	-0.03	7909.68
11.75	92938.72	390771008.00	390771019.05	7909.68	-0.03	7909.68
12.00	94916.14	390771008.00	390771019.53	7909.68	-0.03	7909.68
12.25	96893.56	390771008.00	390771020.01	7909.68	-0.03	7909.68
12.50	98870.98	390771008.00	390771020.51	7909.68	-0.03	7909.68
12.75	100848.41	390771008.00	390771021.01	7909.68	-0.03	7909.68
13.00	102825.83	390771008.00	390771021.53	7909.68	-0.03	7909.68
13.25	104803.25	390771008.00	390771022.05	7909.68	-0.03	7909.68
13.50	106780.67	390771008.00	390771022.59	7909.68	-0.04	7909.68
13.75	108758.09	390771008.00	390771023.13	7909.68	-0.04	7909.68
14.00	110735.52	390771008.00	390771023.69	7909.68	-0.04	7909.68
14.25	112712.94	390771008.00	390771024.26	7909.68	-0.04	7909.68
14.50	114690.36	390771008.00	390771024.83	7909.68	-0.04	7909.68
14.75	116667.78	390771008.00	390771025.42	7909.68	-0.04	7909.68
15.00	118645.20	390771008.00	390771026.01	7909.68	-0.04	7909.68
15.25	120622.62	390771008.00	390771026.62	7909.68	-0.04	7909.68
15.50	122600.05	390771008.00	390771027.23	7909.68	-0.04	7909.68
15.75	124577.47	390771008.00	390771027.86	7909.68	-0.04	7909.68
16.00	126554.89	390771008.00	390771028.49	7909.68	-0.04	7909.68
16.25	128532.31	390771008.00	390771029.14	7909.68	-0.04	7909.68
16.50	130509.73	390771008.00	390771029.79	7909.68	-0.04	7909.68
16.75	132487.16	390771008.00	390771030.46	7909.68	-0.04	7909.68
17.00	134464.58	390771008.00	390771031.13	7909.68	-0.04	7909.68
17.25	136442.00	390771008.00	390771031.82	7909.68	-0.05	7909.68
17.50	138419.42	390771008.00	390771032.52	7909.68	-0.05	7909.68
17.75	140396.84	390771008.00	390771033.22	7909.68	-0.05	7909.68
18.00	142374.27	390771008.00	390771033.94	7909.68	-0.05	7909.68
18.25	144351.69	390771008.00	390771034.66	7909.68	-0.05	7909.68
18.50	146329.11	390771008.00	390771035.40	7909.68	-0.05	7909.68
18.75	148306.53	390771008.00	390771036.14	7909.68	-0.05	7909.68
19.00	150283.95	390771008.00	390771036.90	7909.68	-0.05	7909.68
19.25	152261.38	390771008.00	390771037.66	7909.68	-0.05	7909.68
19.50	154238.80	390771008.00	390771038.44	7909.68	-0.05	7909.68
19.75	156216.22	390771008.00	390771039.22	7909.68	-0.05	7909.68
20.00	158193.64	390771008.00	390771040.02	7909.68	-0.05	7909.68
20.25	160171.06	390771008.00	390771040.83	7909.68	-0.05	7909.68
20.50	162148.48	390771008.00	390771041.64	7909.68	-0.05	7909.68
20.75	164125.91	390771008.00	390771042.47	7909.68	-0.05	7909.68
21.00	166103.33	390771008.00	390771043.30	7909.68	-0.05	7909.68
21.25	168080.75	390771008.00	390771044.15	7909.68	-0.06	7909.68
21.50	170058.17	390771008.00	390771045.00	7909.68	-0.06	7909.68
21.75	172035.59	390771008.00	390771045.87	7909.68	-0.06	7909.68
22.00	174013.02	390771008.00	390771046.74	7909.68	-0.06	7909.68
22.25	175990.44	390771008.00	390771047.63	7909.68	-0.06	7909.68
22.50	177967.86	390771008.00	390771048.53	7909.68	-0.06	7909.68
22.75	179945.28	390771008.00	390771049.43	7909.68	-0.06	7909.68
23.00	181922.70	390771008.00	390771050.35	7909.68	-0.06	7909.68
23.25	183900.12	390771008.00	390771051.27	7909.68	-0.06	7909.68
23.50	185877.55	390771008.00	390771052.21	7909.68	-0.06	7909.68
23.75	187854.97	390771008.00	390771053.15	7909.68	-0.06	7909.68
24.00	189832.39	390771008.00	390771054.11	7909.68	-0.06	7909.68
24.25	191809.81	390771008.00	390771055.07	7909.68	-0.06	7909.68
24.50	193787.23	390771008.00	390771056.05	7909.68	-0.06	7909.68
24.75	195764.66	390771008.00	390771057.04	7909.68	-0.06	7909.68
25.00	197742.08	390771008.00	390771058.03	7909.68	-0.07	7909.68
25.25	199719.50	390771008.00	390771059.04	7909.68	-0.07	7909.68
25.50	201696.92	390771008.00	390771060.05	7909.68	-0.07	7909.68
25.75	203674.34	390771008.00	390771061.08	7909.68	-0.07	7909.68
26.00	205651.77	390771008.00	390771062.11	7909.68	-0.07	7909.68
26.25	207629.19	390771008.00	390771063.16	7909.68	-0.07	7909.68
26.50	209606.61	390771008.00	390771064.22	7909.68	-0.07	7909.68
26.75	211584.03	390771008.00	390771065.28	7909.68	-0.07	7909.68
27.00	213561.45	390771008.00	390771066.36	7909.68	-0.07	7909.68
27.25	215538.88	390771008.00	390771067.44	7909.68	-0.07	7909.68
27.50	217516.30	390771008.00	390771068.54	7909.68	-0.07	7909.68
27.75	219493.72	390771008.00	390771069.64	7909.68	-0.07	7909.68
